time,x1,y1,z1,a1,e1 ,r1,x2,y2,z2,a2,e2,r2,x3,y3,z3,a3,e3,r3,x4,y4,z4,a4,e4,r4,V0,V1,V2,V3,V4,V5
560.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.08837891,-80.35400391,14.0625,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397388422,0.563732058,-0.243991186,0.640905129,-0.080890088,0.479101085
570.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.06640625,-80.35400391,14.0625,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.398036935,0.564056315,-0.244315442,0.640905129,-0.080565832,0.479101085
580.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.06640625,-80.35400391,14.05810547,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397712679,0.563732058,-0.243991186,0.640256616,-0.080890088,0.479101085
590.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.06640625,-80.35400391,14.05810547,4.702148438,-0.140625,157.2583008,11.40380859,54.90966797,10.90283203,6.420410156,-0.382324219,154.0283203,-0.17578125,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397064165,0.564056315,-0.243342672,0.640905129,-0.080890088,0.479101085
600.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.06640625,-80.35400391,14.05810547,4.702148438,-0.140625,157.2583008,11.42578125,54.90966797,10.90283203,6.416015625,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397388422,0.564056315,-0.243666929,0.641229386,-0.080890088,0.479425342
610.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.06640625,-80.35400391,14.05810547,4.702148438,-0.140625,157.2583008,11.42578125,54.90966797,10.8984375,6.416015625,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397388422,0.564056315,-0.243991186,0.640905129,-0.080565832,0.479101085
620.0009,5.563476563,12.69140625,2.522460938,35.81542969,88.06640625,-80.35400391,14.05810547,4.702148438,-0.140625,157.2583008,11.42578125,54.90966797,10.8984375,6.416015625,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397712679,0.563407801,-0.243342672,0.640905129,-0.080565832,0.479425342
630.0009,5.563476563,12.69140625,2.522460938,35.79345703,88.06640625,-80.37597656,14.05810547,4.702148438,-0.140625,157.2583008,11.42578125,54.90966797,10.8984375,6.416015625,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397388422,0.562759288,-0.243666929,0.640256616,-0.080565832,0.478776829
640.0009,5.563476563,12.69140625,2.522460938,35.77148438,88.06640625,-80.39794922,14.05810547,4.702148438,-0.140625,157.2583008,11.42578125,54.90966797,10.8984375,6.416015625,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397712679,0.563083545,-0.243018416,0.640580872,-0.080890088,0.478776829
650.0009,5.563476563,12.69140625,2.522460938,35.74951172,88.06640625,-80.41992188,14.05810547,4.702148438,-0.140625,157.2583008,11.42578125,54.90966797,10.8984375,6.416015625,-0.382324219,154.0283203,-0.197753906,-120.2124023,0.364746094,-6.323730469,-0.184570313,43.96728516,-12.19482422,-5.185546875,0.397388422,0.563407801,-0.242694159,0.640905129,-0.081538602,0.478452572
